arrival_date,year,month,weekday,time_id
2016-01-05,2016,1,3,198
2017-07-10,2017,7,2,199
2015-11-28,2015,11,7,200
2016-06-27,2016,6,2,201
2017-08-29,2017,8,3,202
2017-06-13,2017,6,3,203
2017-01-20,2017,1,6,204
2015-09-16,2015,9,4,205
2015-10-08,2015,10,5,206
2015-10-28,2015,10,4,207
2016-08-10,2016,8,4,208
2016-04-29,2016,4,6,209
2015-08-08,2015,8,7,210
2016-10-30,2016,10,1,211
2016-05-05,2016,5,5,212
2016-01-20,2016,1,4,213
2015-10-11,2015,10,1,214
2016-02-11,2016,2,5,215
2016-04-19,2016,4,3,216
2016-09-12,2016,9,2,217
2016-10-06,2016,10,5,218
2017-07-15,2017,7,7,219
2017-03-05,2017,3,1,220
2015-08-19,2015,8,4,221
2015-10-25,2015,10,1,222
2015-11-07,2015,11,7,223
2016-02-09,2016,2,3,224
2017-07-26,2017,7,4,225
2016-04-14,2016,4,5,226
2017-06-07,2017,6,4,227
2017-03-21,2017,3,3,228
2017-08-07,2017,8,2,229
2015-09-19,2015,9,7,230
2015-11-25,2015,11,4,231
2017-06-02,2017,6,6,232
2015-07-12,2015,7,1,233
2016-01-29,2016,1,6,234
2017-03-24,2017,3,6,235
2017-04-30,2017,4,1,236
2015-07-11,2015,7,7,237
2015-10-12,2015,10,2,238
2016-01-26,2016,1,3,239
2016-11-15,2016,11,3,240
2016-08-13,2016,8,7,241
2016-02-15,2016,2,2,242
2016-09-18,2016,9,1,243
2016-12-03,2016,12,7,244
2015-10-18,2015,10,1,245
2015-12-01,2015,12,3,246
2016-03-20,2016,3,1,247
2016-07-13,2016,7,4,248
2016-09-08,2016,9,5,249
2017-01-11,2017,1,4,250
2015-11-22,2015,11,1,251
2016-10-21,2016,10,6,252
2017-02-12,2017,2,1,253
2015-07-29,2015,7,4,254
2015-12-08,2015,12,3,255
2017-01-17,2017,1,3,256
2017-02-24,2017,2,6,257
2017-06-18,2017,6,1,258
2016-05-08,2016,5,1,259
2016-09-01,2016,9,5,260
2017-05-28,2017,5,1,261
2016-02-25,2016,2,5,262
2016-03-16,2016,3,4,263
2016-04-08,2016,4,6,264
2016-12-25,2016,12,1,265
2016-12-31,2016,12,7,266
2016-11-21,2016,11,2,267
2016-09-25,2016,9,1,268
2017-05-05,2017,5,6,269
2017-05-19,2017,5,6,270
2015-08-06,2015,8,5,271
2015-12-12,2015,12,7,272
2016-03-19,2016,3,7,273
2017-03-20,2017,3,2,274
2015-08-31,2015,8,2,275
2016-08-30,2016,8,3,276
2016-10-29,2016,10,7,277
2015-07-10,2015,7,6,278
2016-04-02,2016,4,7,279
2017-04-15,2017,4,7,280
2017-08-06,2017,8,1,281
2016-08-07,2016,8,1,282
2017-06-06,2017,6,3,283
2016-11-06,2016,11,1,284
2016-10-26,2016,10,4,285
2017-01-25,2017,1,4,286
2017-01-19,2017,1,5,287
2016-03-31,2016,3,5,288
2016-09-02,2016,9,6,289
2015-07-18,2015,7,7,290
2015-12-02,2015,12,4,291
2016-07-10,2016,7,1,292
2017-04-26,2017,4,4,293
2016-02-18,2016,2,5,294
2016-07-16,2016,7,7,295
2015-10-20,2015,10,3,296
2015-12-26,2015,12,7,297
2015-12-27,2015,12,1,298
2017-07-11,2017,7,3,299
2017-02-23,2017,2,5,300
2016-12-30,2016,12,6,301
2015-07-15,2015,7,4,302
2015-12-15,2015,12,3,303
2016-05-12,2016,5,5,304
2017-03-30,2017,3,5,305
2016-12-17,2016,12,7,306
2017-07-12,2017,7,4,307
2015-11-04,2015,11,4,308
2015-11-26,2015,11,5,309
2015-12-04,2015,12,6,310
2015-12-23,2015,12,4,311
2016-07-24,2016,7,1,312
2015-12-07,2015,12,2,313
2017-08-17,2017,8,5,314
2017-03-29,2017,3,4,315
2016-12-02,2016,12,6,316
2017-02-06,2017,2,2,317
2016-02-28,2016,2,1,318
2016-08-27,2016,8,7,319
2016-10-09,2016,10,1,320
2017-01-23,2017,1,2,321
2016-01-24,2016,1,1,322
2015-12-10,2015,12,5,323
2016-05-01,2016,5,1,324
2016-08-18,2016,8,5,325
2017-04-08,2017,4,7,326
2017-01-08,2017,1,1,327
2016-11-07,2016,11,2,328
2017-06-17,2017,6,7,329
2016-12-18,2016,12,1,330
2015-10-07,2015,10,4,331
2016-02-12,2016,2,6,332
2016-09-16,2016,9,6,333
2016-04-20,2016,4,4,334
2015-07-30,2015,7,5,335
2016-11-04,2016,11,6,336
2017-03-11,2017,3,7,337
2015-07-13,2015,7,2,338
2015-08-30,2015,8,1,339
2017-03-06,2017,3,2,340
2016-12-29,2016,12,5,341
2017-04-23,2017,4,1,342
2015-09-22,2015,9,3,343
2015-10-14,2015,10,4,344
2016-03-02,2016,3,4,345
2017-02-22,2017,2,4,346
2016-12-27,2016,12,3,347
2016-08-04,2016,8,5,348
2016-06-14,2016,6,3,349
2016-12-05,2016,12,2,350
2017-03-26,2017,3,1,351
2017-05-07,2017,5,1,352
2016-06-05,2016,6,1,353
2015-07-01,2015,7,4,354
2015-10-03,2015,10,7,355
2015-12-24,2015,12,5,356
2017-02-05,2017,2,1,357
2017-01-07,2017,1,7,358
2016-04-13,2016,4,4,359
2016-09-13,2016,9,3,360
2016-10-14,2016,10,6,361
2016-07-29,2016,7,6,362
2016-08-21,2016,8,1,363
2017-01-12,2017,1,5,364
2016-04-09,2016,4,7,365
2016-08-22,2016,8,2,366
2015-07-08,2015,7,4,367
2015-12-25,2015,12,6,368
2016-09-24,2016,9,7,369
2017-03-18,2017,3,7,370
2015-08-14,2015,8,6,371
2016-05-02,2016,5,2,372
2017-02-17,2017,2,6,373
2015-10-27,2015,10,3,374
2015-12-19,2015,12,7,375
2016-07-08,2016,7,6,376
2016-08-29,2016,8,2,377
2017-08-01,2017,8,3,378
2016-01-03,2016,1,1,379
2015-07-17,2015,7,6,380
2016-07-04,2016,7,2,381
2016-10-11,2016,10,3,382
2016-02-29,2016,2,2,383
2016-03-24,2016,3,5,384
2016-11-23,2016,11,4,385
2016-08-14,2016,8,1,386
2015-07-31,2015,7,6,387
2015-09-03,2015,9,5,388
2016-07-12,2016,7,3,389
2017-01-31,2017,1,3,390
2017-05-22,2017,5,2,391
2017-02-03,2017,2,6,392
2015-08-16,2015,8,1,393
2015-09-12,2015,9,7,394
2017-06-22,2017,6,5,395
2016-12-11,2016,12,1,396
2017-08-03,2017,8,5,397
2015-11-11,2015,11,4,398
2016-04-17,2016,4,1,399
2016-07-30,2016,7,7,400
2016-01-21,2016,1,5,401
2017-06-03,2017,6,7,402
2015-09-05,2015,9,7,403
2015-10-26,2015,10,2,404
2016-08-08,2016,8,2,405
2017-01-16,2017,1,2,406
2017-06-10,2017,6,7,407
2016-03-04,2016,3,6,408
2017-04-22,2017,4,7,409
2017-06-11,2017,6,1,410
2017-07-18,2017,7,3,411
2016-01-27,2016,1,4,412
2015-08-03,2015,8,2,413
2015-08-20,2015,8,5,414
2015-09-23,2015,9,4,415
2016-11-18,2016,11,6,416
2015-08-27,2015,8,5,417
2015-09-14,2015,9,2,418
2015-12-20,2015,12,1,419
2016-04-01,2016,4,6,420
2016-07-14,2016,7,5,421
2016-11-01,2016,11,3,422
2015-08-22,2015,8,7,423
2015-10-17,2015,10,7,424
2016-01-14,2016,1,5,425
2016-06-18,2016,6,7,426
2016-08-09,2016,8,3,427
2016-03-21,2016,3,2,428
2016-05-15,2016,5,1,429
2016-06-10,2016,6,6,430
2016-10-12,2016,10,4,431
2015-09-26,2015,9,7,432
2016-02-19,2016,2,6,433
2016-04-07,2016,4,5,434
2016-11-28,2016,11,2,435
2016-02-21,2016,2,1,436
2016-03-26,2016,3,7,437
2015-10-21,2015,10,4,438
2015-11-19,2015,11,5,439
2016-05-16,2016,5,2,440
2017-05-30,2017,5,3,441
2017-03-07,2017,3,3,442
2016-11-17,2016,11,5,443
2017-06-21,2017,6,4,444
2017-05-14,2017,5,1,445
2015-10-01,2015,10,5,446
2015-10-02,2015,10,6,447
2017-02-27,2017,2,2,448
2015-07-23,2015,7,5,449
2016-09-03,2016,9,7,450
2016-10-16,2016,10,1,451
2016-05-14,2016,5,7,452
2016-06-23,2016,6,5,453
2017-03-27,2017,3,2,454
2016-10-22,2016,10,7,455
2016-08-02,2016,8,3,456
2017-02-18,2017,2,7,457
2017-07-22,2017,7,7,458
2017-08-27,2017,8,1,459
2016-12-04,2016,12,1,460
2015-07-20,2015,7,2,461
2015-12-14,2015,12,2,462
2016-02-13,2016,2,7,463
2016-04-12,2016,4,3,464
2016-07-27,2016,7,4,465
2016-02-26,2016,2,6,466
2016-05-10,2016,5,3,467
2016-09-17,2016,9,7,468
2015-08-09,2015,8,1,469
2015-10-19,2015,10,2,470
2016-05-17,2016,5,3,471
2015-12-09,2015,12,4,472
2017-08-31,2017,8,5,473
